,Counry
0,Russia
1,European Russia
2,
3,China
4,Taiwan
5,Hong Kong
6,Macao
7,India
8,Kazakhstan
9,Saudi Arabia
10,Iran
11,Mongolia
12,Indonesia
13,Indonesian Papua
14,Oceania
15,Pakistan
16,Turkey
17,Myanmar
18,Afghanistan
19,Yemen
20,Thailand
21,Turkmenistan
22,Uzbekistan
23,Iraq
24,Japan
25,Vietnam
26,Malaysia
27,Oman
28,Philippines
29,Laos
30,Kyrgyzstan
31,Syria
32,Golan Heights
33,Cambodia
34,Bangladesh
35,Nepal
36,Tajikistan
37,North Korea
38,South Korea
39,Jordan
40,United Arab Emirates
41,Azerbaijan
42,Caucasus
43,Europe
44,Asia
45,Georgia (country)
46,Caucasus
47,Europe
48,Asia
49,Sri Lanka
50,Egypt
51,Bhutan
52,Taiwan
53,Armenia
54,Caucasus
55,Europe
56,Asia
57,Israel
58,West Bank
59,Gaza Strip
60,Golan Heights
61,Kuwait
62,East Timor
63,Qatar
64,Lebanon
65,Cyprus
66,Northern Cyprus
67,State of Palestine
68,West Bank
69,Gaza Strip
70,Brunei
71,Bahrain
72,Singapore
73,Maldives
